scan,Q,dQ,tau,dtau,dtau%,beta,dbeta,dbeta%,c,dc,dc%,y0,dy0,dy%,redchi2,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_730C_Q_0001_0005,0.26,0.02,0.2259967465376876,0.0239226496478311,10.58539559278203,0.7621073923258629,0.0587475077631161,7.708560283587544,0.0218305718193296,0.0013390812640123,6.133972463454449,1.0013919219960072,5.19926180879529e-06,0.0005192034901212,0.8346826639765605,3.0,730.0,0.0,,,9.7,0.29,,,,
"GeO2_3_730C_att2_0001_range(4, 8)",0.2,0.02,0.5551429258949165,0.037919941216299,6.830662780250741,0.6550579047948359,0.0261490376043046,3.991866583534255,0.0242410471781714,0.0008657664715841,3.571489569822332,1.0013512771261728,1.453093278906e-05,0.001451132396891,0.9606323330500264,3.0,730.0,100.0,,,9.7,0.19,,,,0.5
"GeO2_3_730C_att2_0001_range(4, 8)",0.21,0.01,0.6014183912714522,0.0610173969946275,10.145582157145428,0.6938534524556809,0.0445031746448497,6.413915573576018,0.0235527425183039,0.0012947179209463,5.497100475412521,1.0012928958049314,7.362671058749401e-06,0.0007353164183623,1.212221611317273,3.0,730.0,100.0,,,9.7,0.19,,,,0.5
GeO2_4_10p25_0001_0014,0.19,0.01,0.1124684883687392,0.0171151512070954,15.217730277463762,0.4308317570633989,0.0197442872305467,4.582830050673645,0.1688257374091566,0.0102665243343919,6.081136971142344,1.0012216609776134,1.3966384725650168e-05,0.0013949343357207,30.35457155274807,,,,,,,,,,,
GeO2_4_10p25_0001_0015,0.19,0.01,0.2070738305225343,0.0069819010494503,3.3716964774506177,0.6996270992958775,0.0164421250821996,2.350126960311776,0.1209723392242092,0.0023310306475208,1.9269121044278887,1.0032497564817326,0.0001387812819144,0.0138331737453986,1.8889535410366487,,,,,,,,,,,
GeO2_4_10p25_0001_0016,0.19,0.01,0.1642475572331749,0.0106561367176489,6.487850959342374,0.556677451305753,0.0160941315549077,2.891105346041427,0.1408898611034285,0.0043036382884234,3.054611775977357,1.0012364673934206,7.631186034467838e-06,0.0007621761974306,4.2723689985610935,,,,,,,,,,,
GeO2_4_10p25_0001_0017,0.19,0.01,0.1579158303386256,0.0139153408680096,8.811872019524822,0.5328187581821586,0.0195938691640905,3.677398526834868,0.1445301070163552,0.0058252834885014,4.030498287697437,1.001246575328706,2.097012523848651e-05,0.002094401694368,3.7755259403313217,,,,,,,,,,,
GeO2_4_30C_0002_0004,0.19,0.01,6.177408138799707,0.142377052248601,2.304802419551081,0.8124861203996465,0.01538508315403,1.893581043139847,0.0303240362576334,0.0004249382830799,1.4013249406170432,1.0012280631495971,1.417215881414786e-05,0.0014154775855528,1.469972096543847,,,,,,,,,,,
GeO2_4_30C_0002_0005,0.19,0.01,13.184594346081749,0.2584232607054566,1.960039527361385,0.8252239932363707,0.013600796702573,1.6481339386695888,0.0309688941969381,0.0003723027477128,1.2021828914693642,1.0012602387071716,1.3077823647245603e-05,0.0013061363211757,2.1605125609072715,,,,,,,,,,,
GeO2_4_8p67_0001_0006,0.19,0.01,0.1062864037368413,0.0133044623339703,12.51755809417674,0.5057596504657009,0.0242634901900779,4.797434941228761,0.1798497044572401,0.0099890358244734,5.554101884470109,1.0015056407687148,2.706331658141108e-05,0.0027022630207692,3.60058073397849,,,,,,,,,,,
GeO2_4_8p67_0001_0007,0.19,0.01,0.1132673470756326,0.0116384216627161,10.275178119025597,0.526832121478845,0.0220691978500244,4.189038016147359,0.1741748764871047,0.0081513087068083,4.67995664541886,1.0014121659054809,2.417767785702362e-05,0.0024143583112116,2.4880527170648667,,,,,,,,,,,
GeO2_4_8p67_0001_0008,0.19,0.01,0.1265170948361196,0.0075895068119008,5.998799467954633,0.6195682346956138,0.020062886254155,3.238204467343575,0.1590925556696417,0.0048888212119424,3.0729415285113477,1.0027610590332832,0.0001225921303351,0.0122254578227576,2.077375073498408,,,,,,,,,,,
GeO2_6_0001_0009,0.21,0.01,4.992788160624665,0.1011788873422125,2.026500706361908,0.7399666903025085,0.0105848277716034,1.4304465201367644,0.0331006514963742,0.0003816250661139,1.1529231264701585,1.0011316450304195,8.516758438464094e-06,0.0008507131385508,0.997427603281602,6.0,30.0,7.1e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0012,0.2,0.02,5.191249911064868,0.0515875681491547,0.9937407952408266,0.7243568608329115,0.0048906044162128,0.6751650575366005,0.0308661253477981,0.000171593765291,0.5559290755076041,1.001130756392993,2.681608906033053e-06,0.0002678580084478,1.002461781643347,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0012,0.21,0.01,5.255936121970064,0.0731798604486381,1.3923278127894825,0.7417869716308321,0.0072751688122748,0.9807625491561652,0.0302391558165715,0.000239386325855,0.7916435475485225,1.001154408476577,3.827269605372989e-06,0.0003822856467462,1.004080271107716,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0012,0.2,0.015,5.12907922399283,0.0723568118049951,1.4107173752849078,0.7273074391887651,0.0070168927335351,0.964776703145204,0.0310333995490517,0.0002457785001729,0.7919805878324502,1.0011326086242631,3.1539042528036443e-06,0.0003150336154905,2.2668599449202915,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0012,0.17,0.015,5.371626255902974,0.0926648656247414,1.7250802868667636,0.7140603309541849,0.0081781291000856,1.145299457982406,0.0316937451731477,0.0003027693315466,0.9552967940285568,1.001088934052312,4.365237960686887e-06,0.0004360489674995,3.4279062671282983,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0012,0.14,0.015,5.794957055663517,0.1176139631278285,2.029591625927275,0.7071275000552032,0.0094163762732102,1.3316376852088416,0.0326771976306293,0.0003648978087792,1.1166741190719414,1.0012368549120405,4.916931522526461e-06,0.0004910857504299,3.9205282777196953,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_100C_0001_0003,0.21,0.01,4.799045884863278,0.1216894140744154,2.535700157780056,0.723988093876963,0.012634294303194,1.745096971904235,0.0288865472067671,0.0004116749825136,1.4251443052952806,1.0011772272518031,1.1528652790712684e-05,0.0011515096904829,0.992444985315604,6.0,100.0,6.67e-06,,,9.7,0.19,,heating,,
GeO2_6_170C_0001_0001,0.21,0.01,4.275085448676677,0.1183061861104967,2.767340852733541,0.7467629785405334,0.0148502740059413,1.98861947266917,0.0271972610383246,0.0004316248457784,1.5870158585830567,1.0011803280389135,1.1505503947715903e-05,0.0011491939689079,0.9869922785654024,6.0,170.0,0.0,,,9.7,0.19,,heating,,
GeO2_6_240C_0001_0003,0.21,0.01,3.696431080395112,0.1208015145749537,3.2680580794716523,0.7394402018536456,0.0179745566747052,2.430833031480597,0.0266516508155725,0.0005085167279066,1.908012120620713,1.0013457800270773,2.875245638352789e-05,0.0028713813906271,1.0114854738205965,6.0,240.0,0.0,,,9.7,0.19,,heating,,
GeO2_6_310C_0001_0003,0.21,0.01,3.0224139793300635,0.1229040785927389,4.066421060558401,0.7245418366008127,0.0201196644716173,2.7768809826094665,0.0263529808924271,0.0006016533235812,2.283056046058752,1.0011896076808329,1.3228048240159112e-05,0.0013212330750017,1.0052102326906054,6.0,310.0,6.67e-06,,,9.7,0.19,,heating,,
GeO2_6_380C_0001_0001,0.21,0.01,2.101633403937471,0.1175262700423623,5.592139419851884,0.6973165746469282,0.0249910916965397,3.5838946907569955,0.0251454864104199,0.0007690133053889,3.0582558350123463,1.0011806197570838,1.3469656039319892e-05,0.0013453772249994,1.0037338219860572,6.0,380.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_450C_0001_0003,0.21,0.01,1.6459468041762606,0.128401046376671,7.801044727015424,0.6249705194827798,0.0272406751938863,4.35871362643321,0.0259516161070151,0.0010410243797892,4.011404821558863,1.0012608913752137,3.210669645412071e-05,0.0032066264377931,1.0075055688343617,6.0,450.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_520C_0001_0001,0.21,0.01,1.4061804133621585,0.1273107307494138,9.05365552952168,0.6308264551942305,0.0320389931825189,5.078891812274138,0.0249836318531016,0.0011683012002741,4.676266473759629,1.0012165825786483,3.243629983341876e-05,0.0032396886345887,1.0010062493495622,6.0,520.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_590C_0001_0003,0.21,0.01,0.576809853744196,0.0813051785784775,14.095663943795032,0.6472568230397272,0.0519026468725068,8.018864386590046,0.0253040571648593,0.0018875118226793,7.459324844162023,1.0012673748735514,4.295255130892218e-05,0.0042898183229376,0.9639070581678336,6.0,590.0,100.0,,,9.7,0.19,,heating,,
GeO2_6q_delcoup_1_0001_0002,0.085,0.01,5.850337819168729,0.2292060019261055,3.917825072854909,0.6659269710625777,0.0157067149117707,2.358624232730582,0.0342436881402587,0.0007083776954679,2.068637269929865,1.0017116157478412,1.3027846417903108e-05,0.0013005585852348,3.4132574576789367,6.0,30.0,100.0,,,9.7,0.13,,,,
GeO2_6q_delcoup_1_0001_0002,0.105,0.01,5.669504782418438,0.1298050368133095,2.289530422760109,0.7197493554320193,0.0111406278923137,1.5478482624867018,0.0330507295820158,0.0004206264612364,1.2726692165529396,1.0013028331479206,8.943344033641643e-06,0.0008931707509031,2.1557518721208857,6.0,30.0,100.0,,,9.7,0.13,,,,
GeO2_6q_delcoup_1_0001_0002,0.125,0.01,5.240433684443117,0.1149842527856581,2.194174370090844,0.7095080187767328,0.0103265192836522,1.4554478611046888,0.0332435090637614,0.0004024608895182,1.2106450277143816,1.0011576617486913,8.020334859684968e-06,0.0008011060761075,1.8297069810327515,6.0,30.0,100.0,,,9.7,0.13,,,,
GeO2_6q_delcoup_1_0001_0002,0.145,0.01,5.128646151080099,0.111756779905166,2.1790698093224847,0.7197850932078255,0.010621695782568,1.47567598756887,0.0325170828272349,0.0003941664305706,1.2121826323255611,1.001225240183182,7.76463759516747e-06,0.0007755135691292,1.6973584827940946,6.0,30.0,100.0,,,9.7,0.13,,,,
